规则,级别,标的,数量,说明,样例
报告期存在重述,提示,601018.SSE,28,"Balance 有 28 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601018.SSE,37,"Income 有 37 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601018.SSE,33,"CashFlow 有 33 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601018.SSE,10,"PershareIndex 有 10 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601021.SSE,13,"Balance 有 13 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601021.SSE,13,"Income 有 13 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601021.SSE,9,"CashFlow 有 9 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601021.SSE,3,"PershareIndex 有 3 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601058.SSE,5,"Balance 有 5 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601058.SSE,25,"Income 有 25 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601058.SSE,3,"CashFlow 有 3 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601058.SSE,10,"PershareIndex 有 10 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601059.SSE,2,"PershareIndex 有 2 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601066.SSE,2,"Balance 有 2 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601066.SSE,13,"Income 有 13 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601066.SSE,8,"CashFlow 有 8 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601066.SSE,6,"PershareIndex 有 6 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601077.SSE,1,"Balance 有 1 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601077.SSE,10,"Income 有 10 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601077.SSE,7,"CashFlow 有 7 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601077.SSE,4,"PershareIndex 有 4 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601088.SSE,43,"Balance 有 43 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601088.SSE,55,"Income 有 55 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601088.SSE,38,"CashFlow 有 38 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601088.SSE,16,"PershareIndex 有 16 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601100.SSE,5,"Balance 有 5 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601100.SSE,26,"Income 有 26 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601100.SSE,9,"CashFlow 有 9 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601100.SSE,11,"PershareIndex 有 11 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601111.SSE,29,"Balance 有 29 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601111.SSE,31,"Income 有 31 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601111.SSE,31,"CashFlow 有 31 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601111.SSE,11,"PershareIndex 有 11 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601117.SSE,35,"Balance 有 35 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601117.SSE,27,"Income 有 27 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601117.SSE,16,"CashFlow 有 16 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601117.SSE,8,"PershareIndex 有 8 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601127.SSE,14,"Balance 有 14 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601127.SSE,28,"Income 有 28 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601127.SSE,10,"CashFlow 有 10 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601127.SSE,16,"PershareIndex 有 16 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601136.SSE,2,"Balance 有 2 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601136.SSE,5,"Income 有 5 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601136.SSE,2,"CashFlow 有 2 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601136.SSE,1,"PershareIndex 有 1 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601138.SSE,7,"Balance 有 7 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601138.SSE,11,"Income 有 11 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601138.SSE,2,"CashFlow 有 2 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601138.SSE,1,"PershareIndex 有 1 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601166.SSE,5,"Balance 有 5 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601166.SSE,23,"Income 有 23 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601166.SSE,20,"CashFlow 有 20 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601166.SSE,8,"PershareIndex 有 8 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601169.SSE,7,"Balance 有 7 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601169.SSE,32,"Income 有 32 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601169.SSE,29,"CashFlow 有 29 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601169.SSE,12,"PershareIndex 有 12 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601186.SSE,37,"Balance 有 37 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601186.SSE,36,"Income 有 36 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601186.SSE,26,"CashFlow 有 26 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601186.SSE,14,"PershareIndex 有 14 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601211.SSE,15,"Balance 有 15 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601211.SSE,17,"Income 有 17 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601211.SSE,23,"CashFlow 有 23 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601211.SSE,11,"PershareIndex 有 11 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601225.SSE,28,"Balance 有 28 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601225.SSE,31,"Income 有 31 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601225.SSE,33,"CashFlow 有 33 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601225.SSE,12,"PershareIndex 有 12 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601229.SSE,15,"Balance 有 15 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601229.SSE,30,"Income 有 30 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601229.SSE,27,"CashFlow 有 27 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601229.SSE,18,"PershareIndex 有 18 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601238.SSE,22,"Balance 有 22 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601238.SSE,22,"Income 有 22 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601238.SSE,10,"CashFlow 有 10 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601238.SSE,8,"PershareIndex 有 8 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601288.SSE,7,"Balance 有 7 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601288.SSE,23,"Income 有 23 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601288.SSE,42,"CashFlow 有 42 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601288.SSE,9,"PershareIndex 有 9 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601318.SSE,10,"Balance 有 10 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601318.SSE,31,"Income 有 31 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601318.SSE,44,"CashFlow 有 44 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601318.SSE,8,"PershareIndex 有 8 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601319.SSE,2,"Balance 有 2 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601319.SSE,12,"Income 有 12 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601319.SSE,8,"CashFlow 有 8 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601319.SSE,5,"PershareIndex 有 5 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601328.SSE,11,"Balance 有 11 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601328.SSE,39,"Income 有 39 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601328.SSE,43,"CashFlow 有 43 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601328.SSE,12,"PershareIndex 有 12 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601336.SSE,10,"Balance 有 10 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601336.SSE,16,"Income 有 16 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601336.SSE,18,"CashFlow 有 18 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601336.SSE,6,"PershareIndex 有 6 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601360.SSE,3,"Balance 有 3 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601360.SSE,10,"Income 有 10 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601360.SSE,13,"PershareIndex 有 13 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601377.SSE,14,"Balance 有 14 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601377.SSE,31,"Income 有 31 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601377.SSE,30,"CashFlow 有 30 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601377.SSE,19,"PershareIndex 有 19 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601390.SSE,43,"Balance 有 43 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601390.SSE,43,"Income 有 43 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601390.SSE,26,"CashFlow 有 26 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601390.SSE,12,"PershareIndex 有 12 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601398.SSE,8,"Balance 有 8 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601398.SSE,23,"Income 有 23 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601398.SSE,49,"CashFlow 有 49 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601398.SSE,9,"PershareIndex 有 9 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601456.SSE,2,"Balance 有 2 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601456.SSE,1,"Income 有 1 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601456.SSE,1,"CashFlow 有 1 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601456.SSE,1,"PershareIndex 有 1 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601600.SSE,50,"Balance 有 50 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601600.SSE,55,"Income 有 55 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601600.SSE,48,"CashFlow 有 48 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601600.SSE,16,"PershareIndex 有 16 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601601.SSE,10,"Balance 有 10 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601601.SSE,19,"Income 有 19 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601601.SSE,20,"CashFlow 有 20 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601601.SSE,11,"PershareIndex 有 11 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601607.SSE,21,"Balance 有 21 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601607.SSE,25,"Income 有 25 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601607.SSE,16,"CashFlow 有 16 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601607.SSE,9,"PershareIndex 有 9 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601618.SSE,42,"Balance 有 42 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601618.SSE,29,"Income 有 29 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601618.SSE,7,"CashFlow 有 7 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601618.SSE,9,"PershareIndex 有 9 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601628.SSE,6,"Balance 有 6 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601628.SSE,29,"Income 有 29 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601628.SSE,21,"CashFlow 有 21 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601628.SSE,7,"PershareIndex 有 7 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601633.SSE,19,"Balance 有 19 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601633.SSE,26,"Income 有 26 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601633.SSE,20,"CashFlow 有 20 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601633.SSE,8,"PershareIndex 有 8 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601658.SSE,2,"Balance 有 2 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601658.SSE,10,"Income 有 10 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601658.SSE,14,"CashFlow 有 14 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601658.SSE,2,"PershareIndex 有 2 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601668.SSE,25,"Balance 有 25 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601668.SSE,45,"Income 有 45 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601668.SSE,37,"CashFlow 有 37 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601668.SSE,12,"PershareIndex 有 12 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601669.SSE,39,"Balance 有 39 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601669.SSE,48,"Income 有 48 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601669.SSE,37,"CashFlow 有 37 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601669.SSE,15,"PershareIndex 有 15 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601688.SSE,7,"Balance 有 7 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601688.SSE,31,"Income 有 31 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601688.SSE,26,"CashFlow 有 26 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601688.SSE,13,"PershareIndex 有 13 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601689.SSE,5,"Balance 有 5 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601689.SSE,21,"Income 有 21 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601689.SSE,1,"CashFlow 有 1 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601689.SSE,10,"PershareIndex 有 10 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601698.SSE,7,"Balance 有 7 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601698.SSE,5,"Income 有 5 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601698.SSE,1,"CashFlow 有 1 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601698.SSE,3,"PershareIndex 有 3 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601727.SSE,41,"Balance 有 41 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601727.SSE,51,"Income 有 51 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601727.SSE,28,"CashFlow 有 28 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601727.SSE,14,"PershareIndex 有 14 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601728.SSE,24,"Balance 有 24 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601728.SSE,5,"Income 有 5 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601728.SSE,5,"CashFlow 有 5 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601728.SSE,3,"PershareIndex 有 3 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601766.SSE,60,"Balance 有 60 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601766.SSE,39,"Income 有 39 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601766.SSE,36,"CashFlow 有 36 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601766.SSE,10,"PershareIndex 有 10 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601788.SSE,6,"Balance 有 6 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601788.SSE,22,"Income 有 22 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601788.SSE,31,"CashFlow 有 31 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601788.SSE,11,"PershareIndex 有 11 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601800.SSE,53,"Balance 有 53 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601800.SSE,41,"Income 有 41 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601800.SSE,33,"CashFlow 有 33 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601800.SSE,13,"PershareIndex 有 13 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601816.SSE,23,"Balance 有 23 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601816.SSE,15,"Income 有 15 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601816.SSE,11,"CashFlow 有 11 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601816.SSE,4,"PershareIndex 有 4 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601818.SSE,14,"Balance 有 14 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601818.SSE,21,"Income 有 21 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601818.SSE,36,"CashFlow 有 36 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601818.SSE,13,"PershareIndex 有 13 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601825.SSE,1,"Balance 有 1 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601825.SSE,6,"Income 有 6 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601825.SSE,7,"CashFlow 有 7 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601825.SSE,3,"PershareIndex 有 3 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601838.SSE,7,"Income 有 7 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601838.SSE,5,"CashFlow 有 5 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601838.SSE,2,"PershareIndex 有 2 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601857.SSE,14,"Balance 有 14 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601857.SSE,30,"Income 有 30 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,601857.SSE,26,"CashFlow 有 26 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
